LibraryName,Encoding
kernel32.dll,0.0
user32.dll,1.0
gdi32.dll,2.0
winspool.drv,3.0
shell32.dll,4.0
comctl32.dll,5.0
oledlg.dll,6.0
ole32.dll,7.0
oleaut32.dll,8.0
version.dll,9.0
wininet.dll,10.0
msvcrt.dll,11.0
ntdll.dll,12.0
msvbvm60.dll,13.0
advapi32.dll,14.0
mscoree.dll,15.0
ws2_32.dll,16.0
mswsock.dll,17.0
shlwapi.dll,18.0
comdlg32.dll,19.0
mpr.dll,20.0
psapi.dll,21.0
userenv.dll,22.0
winmm.dll,23.0
wsock32.dll,24.0
crypt32.dll,25.0
winhttp.dll,26.0
iphlpapi.dll,27.0
kernel32,28.0
gdiplus.dll,29.0
rpcrt4.dll,30.0
urlmon.dll,31.0
msorcl32.dll,32.0
crtdll.dll,33.0
msvcp60.dll,34.0
imagehlp.dll,35.0
wtsapi32.dll,36.0
els.dll,37.0
rasapi32.dll,38.0
ntoskrnl.exe,39.0
hal.dll,40.0
cmutil.dll,41.0
netapi32.dll,42.0
pdh.dll,43.0
msdtctm.dll,44.0
secur32.dll,45.0
vdmdbg.dll,46.0
cc3260.dll,47.0
stlp45.dll,48.0
lz32.dll,49.0
d3dx9_43.dll,50.0
imm32.dll,51.0
bdmskin.dll,52.0
bdlogicutils.dll,53.0
msvcp80.dll,54.0
msvcr80.dll,55.0
msvcr100.dll,56.0
msvcr71.dll,57.0
msctf.dll,58.0
msutb.dll,59.0
hge.dll,60.0
gameframe_hge.dll,61.0
guichan.dll,62.0
guichan_hge.dll,63.0
mfc71.dll,64.0
msvcp71.dll,65.0
crashrpt.dll,66.0
magic.dll,67.0
fmodex.dll,68.0
freetype.dll,69.0
msimg32.dll,70.0
oleacc.dll,71.0
avicap32.dll,72.0
msvfw32.dll,73.0
wintrust.dll,74.0
nddeapi.dll,75.0
hccutils.dll,76.0
atl.dll,77.0
certcli.dll,78.0
cryptui.dll,79.0
dciman32.dll,80.0
imm32,81.0
slc.dll,82.0
usp10.dll,83.0
uxtheme.dll,84.0
dwmapi.dll,85.0
mprapi.dll,86.0
activeds.dll,87.0
adsldpc.dll,88.0
cmpbk32.dll,89.0
mobsync.dll,90.0
rasman.dll,91.0
rasctrs.dll,92.0
raschap.dll,93.0
setupapi.dll,94.0
videoprt.sys,95.0
tdi.sys,96.0
ndis.sys,97.0
odbc32.dll,98.0
vsstrace.dll,99.0
vssapi.dll,100.0
credui.dll,101.0
dsprop.dll,102.0
clbcatq.dll,103.0
rasdlg.dll,104.0
tapi32.dll,105.0
msacm32.dll,106.0
shfolder.dll,107.0
ntdll,108.0
esent.dll,109.0
console.dll,110.0
crt.dll,111.0
msvcp100.dll,112.0
cabinet.dll,113.0
acledit.dll,114.0
hhctrl.ocx,115.0
olepro32.dll,116.0
mfc42.dll,117.0
dbghelp.dll,118.0
bmaframe.dll,119.0
channel.dll,120.0
libexpat.dll,121.0
msi.dll,122.0
kso10.dll,123.0
mfc71lu.dll,124.0
mslur71.dll,125.0
mqrt.dll,126.0
pstorec.dll,127.0
windowscodecs.dll,128.0
wlanapi.dll,129.0
qqmusiccommon_new.dll,130.0
fwpkclnt.sys,131.0
iedkcs32.dll,132.0
vbrun500.dll,133.0
avifil32.dll,134.0
wldap32.dll,135.0
ctl3d32.dll,136.0
mfc42u.dll,137.0
i18n.dll,138.0
clusapi.dll,139.0
dmutil.dll,140.0
osuninst.dll,141.0
api-ms-win-core-debug-l1-1-0.dll,142.0
api-ms-win-core-errorhandling-l1-1-0.dll,143.0
api-ms-win-core-handle-l1-1-0.dll,144.0
api-ms-win-core-heap-l1-1-0.dll,145.0
api-ms-win-core-interlocked-l1-1-0.dll,146.0
api-ms-win-core-libraryloader-l1-1-0.dll,147.0
api-ms-win-core-misc-l1-1-0.dll,148.0
api-ms-win-core-processenvironment-l1-1-0.dll,149.0
api-ms-win-core-processthreads-l1-1-0.dll,150.0
api-ms-win-core-profile-l1-1-0.dll,151.0
api-ms-win-core-synch-l1-1-0.dll,152.0
api-ms-win-core-sysinfo-l1-1-0.dll,153.0
api-ms-win-security-base-l1-1-0.dll,154.0
mmdevapi.dll,155.0
sfc_os.dll,156.0
ulib.dll,157.0
ifsutil.dll,158.0
query.dll,159.0
newdev.dll,160.0
scecli.dll,161.0
wiashext.dll,162.0
wevtapi.dll,163.0
dmocx.dll,164.0
webengine.dll,165.0
shdocvw.dll,166.0
hid.dll,167.0
eventcls.dll,168.0
davclnt.dll,169.0
olecli32.dll,170.0
jli.dll,171.0
riched20.dll,172.0
sqlunirl.dll,173.0
opengl32.dll,174.0
perfos.dll,175.0
msvcr120.dll,176.0
qqmusiccommon.dll,177.0
exceptcatch.dll,178.0
atl80.dll,179.0
nssutil3.dll,180.0
plc4.dll,181.0
nspr4.dll,182.0
mozcrt19.dll,183.0
dbnmpntw.dll,184.0
tinyxml.dll,185.0
api-ms-win-core-file-l1-1-0.dll,186.0
api-ms-win-core-io-l1-1-0.dll,187.0
