Feature,Max Value
addressof_new_exeheader,393272.0
addressof_relocation_table,64389.0
checksum,65514.0
file_size_in_pages,65440.0
header_size_in_paragraphs,65535.0
initial_ip,65535.0
initial_relative_cs,65520.0
initial_relative_ss,65520.0
initial_sp,65534.0
magic,23117.0
maximum_extra_paragraphs,65535.0
minimum_extra_paragraphs,65535.0
numberof_relocation,64931.0
oem_id,65460.0
oem_info,65459.0
overlay_number,65288.0
used_bytes_in_the_last_page,65207.0
header_characteristics_list,45091.0
machine,43620.0
numberof_sections,72.0
numberof_symbols,4294967295.0
pointerto_symbol_table,4283477267.0
signature,149.0
sizeof_optional_header,8224.0
time_date_stamps,4294967295.0
addressof_entrypoint,4294967295.0
baseof_code,4282215049.0
baseof_data,2506096640.0
checksum.1,4294967295.0
computed_checksum,201389073.0
dll_characteristics,57619.0
file_alignment,65536.0
imagebase,1.84e+19
loader_flags,4294959248.0
magic.1,523.0
major_image_version,65096.0
major_linker_version,255.0
major_operating_system_version,65535.0
major_subsystem_version,10.0
minor_image_version,65012.0
minor_linker_version,255.0
minor_operating_system_version,64877.0
minor_subsystem_version,65282.0
numberof_rva_and_size,2039100677.0
section_alignment,2097152.0
sizeof_code,4294967295.0
sizeof_headers,2838528.0
sizeof_heap_commit,4278194176.0
sizeof_heap_reserve,1948317975.0
sizeof_image,3221331968.0
sizeof_initialized_data,4294967295.0
sizeof_stack_commit,958365756.0
sizeof_stack_reserve,917135164.0
sizeof_uninitialized_data,4294967295.0
subsystem,4098.0
win32_version_value,4237479920.0
data_directory_0,1.0
data_directory_1,4294967295.0
data_directory_2,3959423040.0
data_directory_3,7.999885865
data_directory_4,15500.0
data_directory_5,55674.0
data_directory_6,50013.0
data_directory_7,77866496.0
data_directory_8,3968554435.0
data_directory_9,77866496.0
data_directory_10,3968554435.0
data_directory_11,70892032.0
data_directory_12,70892032.0
data_directory_13,160948224.0
data_directory_14,70891884.0
data_directory_15,4294967295.0
data_directory_16,0.0
data_directory_17,1.0
data_directory_18,810550062.0
data_directory_19,4083956224.0
data_directory_20,7.99990103
data_directory_21,15500.0
data_directory_22,65535.0
data_directory_23,65296.0
data_directory_24,2225902545.0
data_directory_25,3955395336.0
data_directory_26,2225902545.0
data_directory_27,4294950912.0
data_directory_28,4278208255.0
data_directory_29,4278208255.0
data_directory_30,810545152.0
data_directory_31,1077964468.0
data_directory_32,4294967295.0
data_directory_33,1.0
data_directory_34,1.0
data_directory_35,810553344.0
data_directory_36,4083956224.0
data_directory_37,7.999990705
data_directory_38,15464.0
data_directory_39,52428.0
data_directory_40,64840.0
data_directory_41,3758838784.0
data_directory_42,3932215713.0
data_directory_43,3758838784.0
data_directory_44,4261479183.0
data_directory_45,4278208255.0
data_directory_46,4278208255.0
data_directory_47,792653824.0
data_directory_48,4294964188.0
data_directory_49,4294967295.0
data_directory_50,2.0
data_directory_51,1.0
data_directory_52,2906158847.0
data_directory_53,3758096480.0
data_directory_54,7.999854713
data_directory_55,15476.0
data_directory_56,17.0
data_directory_57,63431.0
data_directory_58,3758132224.0
data_directory_59,6170154.0
data_directory_60,3758132224.0
data_directory_61,1579559006.0
data_directory_62,1600085855.0
data_directory_63,1600085855.0
data_directory_64,1600085855.0
data_directory_65,1600085855.0
data_directory_66,4294967295.0
data_directory_67,3.0
data_directory_68,1.0
data_directory_69,4294967295.0
data_directory_70,4076863584.0
data_directory_71,7.999939912
data_directory_72,15411.0
data_directory_73,2100.0
data_directory_74,60941.0
data_directory_75,3758838784.0
data_directory_76,137644380.0
data_directory_77,3758838784.0
data_directory_78,4294837124.0
data_directory_79,132178432.0
data_directory_80,132178432.0
data_directory_81,273567744.0
data_directory_82,4294964188.0
data_directory_83,4082706282.0
data_directory_84,4.0
data_directory_85,1.0
data_directory_86,4278190080.0
data_directory_87,4060086368.0
data_directory_88,7.999761141
data_directory_89,15478.0
data_directory_90,56405.0
data_directory_91,46112.0
data_directory_92,3763025920.0
data_directory_93,3263391241.0
data_directory_94,3763025920.0
data_directory_95,2097871491.0
data_directory_96,4278208255.0
data_directory_97,4278208255.0
data_directory_98,792657920.0
data_directory_99,1077964468.0
data_directory_100,2348796035.0
data_directory_101,5.0
data_directory_102,1.0
data_directory_103,2707338725.0
data_directory_104,3959423040.0
data_directory_105,7.999755214
data_directory_106,14912.0
data_directory_107,55674.0
data_directory_108,29541.0
data_directory_109,77866496.0
data_directory_110,1953261926.0
data_directory_111,77866496.0
data_directory_112,1953981774.0
data_directory_113,70892032.0
data_directory_114,70892032.0
data_directory_115,77873152.0
data_directory_116,70891884.0
data_directory_117,2588053319.0
data_directory_118,6.0
data_directory_119,1.0
data_directory_120,2566914048.0
data_directory_121,4026531936.0
data_directory_122,7.999444209
data_directory_123,15476.0
data_directory_124,19744.0
data_directory_125,13460.0
data_directory_126,640310826.0
data_directory_127,1633972089.0
data_directory_128,640310826.0
data_directory_129,1579559006.0
data_directory_130,1600085855.0
data_directory_131,1600085855.0
data_directory_132,1600085855.0
data_directory_133,1600085855.0
data_directory_134,2750708650.0
data_directory_135,7.0
data_directory_136,1.0
data_directory_137,4261412864.0
data_directory_138,3758096480.0
data_directory_139,7.997226724
data_directory_140,15477.0
data_directory_141,24100.0
data_directory_142,24101.0
data_directory_143,640310822.0
data_directory_144,1579567687.0
data_directory_145,640310822.0
data_directory_146,1246429278.0
data_directory_147,677258794.0
data_directory_148,677258794.0
data_directory_149,1579835231.0
data_directory_150,1600085855.0
data_directory_151,2059348513.0
data_directory_152,8.0
data_directory_153,1.0
data_directory_154,810544096.0
data_directory_155,3892314144.0
data_directory_156,7.999960093
data_directory_157,15479.0
data_directory_158,65535.0
data_directory_159,61628.0
data_directory_160,77866496.0
data_directory_161,2684354560.0
data_directory_162,77866496.0
data_directory_163,4294950912.0
data_directory_164,4278208255.0
data_directory_165,4278208255.0
data_directory_166,809390080.0
data_directory_167,31414516.0
data_directory_168,4294967295.0
data_directory_169,9.0
data_directory_170,1.0
data_directory_171,2973805376.0
data_directory_172,3892314176.0
data_directory_173,7.999847679
data_directory_174,15476.0
data_directory_175,256.0
data_directory_176,0.0
